Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C6",0603,7,10µF,
C11,0603,1,0.47µF,
"C12, C7, C8",0603,3,0.1µF,
C13,0603,1,1µF,
C9,0603,1,0.01µF,
D1,DIOM4336X265N,1,SMBJ5.0A,
D2,SOT23,1,PESD5V0S2BT,
D3,0603,1,LTST-S270KRKT,
F1,FUSC1608X100N,1,0603L100SLYR,
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
J2,MOLEX_532610871,1,532610871,
J3,JST_S2B-PH-SM4-TB_LF__SN_,1,S2B-PH-SM4-TB_LF__SN_,
J4,CONN_SM04B-SRSS-TB_JST,1,SM04B-SRSS-TB,
J6,SM02B-SRSS-TB_LF__SN_,1,SM02B-SRSS-TB_LF__SN_,
"R1, R16, R17, R2, R20",0603,5,47kΩ,
"R10, R8",0603,2,4.7kΩ,
"R11, R13, R3, R9",0603,4,10kΩ,
"R12, R14, R18, R19",0603,4,22Ω,
R15,0603,1,1kΩ,
R21,0603,1,2.2kΩ,
"R4, R6",0603,2,5.1kΩ,
R5,0603,1,1.8kΩ,
R7,0603,1,3.3kΩ,
"S1, S3",SW_KMR211NGLFS,2,KMR211NGLFS,
U1,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,
U2,SOT-89-5_TOR,1,XC6220B331PR-G,
U3,QFN50P300X300X100-17N,1,BQ24075RGTT,
U4,SOT95P280X145-6N,1,USBLC6-2SC6,
